date,Abetifi,Akatsi,Akim Oda,Akuse,Axim,Bole,Ho,KIAMO-Accra,Kete-Krachi,Koforidua,Kumasi,Navrongo,Saltpond,Sefwi Bekwai,Sunyani,Takoradi,Tema,Wa,Wenchi,Yendi
1990-12-31,97.5,69.9,65.6,71.9,81.10000000000001,130.1,70.3,53.0,61.8,70.4,69.0,84.10000000000001,48.3,154.0,74.10000000000001,116.8,74.5,69.9,137.5,34.6
1991-12-31,87.5,77.2,77.5,80.8,144.0,122.0,128.7,157.20000000000002,180.7,98.5,81.9,70.2,163.3,85.0,93.9,99.3,88.60000000000001,67.7,102.2,77.0
1992-12-31,49.2,63.5,64.8,103.3,196.3,52.8,50.5,79.3,68.5,46.5,111.7,66.0,125.5,100.4,84.4,124.6,88.3,63.6,65.2,54.2
1993-12-31,54.9,46.8,63.4,74.9,180.1,81.60000000000001,60.4,51.0,55.6,159.6,108.3,66.5,67.9,78.0,63.0,91.1,81.0,59.2,143.3,90.2
1994-12-31,49.3,84.8,66.5,88.2,120.7,91.4,58.6,63.4,114.7,77.3,48.2,70.8,105.5,86.0,89.10000000000001,87.3,70.7,57.2,50.3,74.2
1995-12-31,50.3,63.8,71.10000000000001,82.0,161.0,65.8,48.0,243.9,93.4,105.8,64.0,68.0,97.5,95.7,83.60000000000001,96.0,129.4,68.3,77.10000000000001,66.4
1996-12-31,72.60000000000001,82.2,69.8,112.0,160.9,63.8,110.3,75.3,146.8,78.8,90.0,56.7,107.0,67.3,70.10000000000001,115.1,116.7,75.7,118.0,70.9
1997-12-31,59.0,78.0,85.3,82.60000000000001,195.5,56.9,66.4,124.1,53.4,56.0,125.2,89.60000000000001,89.4,85.60000000000001,63.2,73.3,119.7,74.10000000000001,85.7,75.3
1998-12-31,88.10000000000001,109.4,92.7,146.3,130.5,70.9,111.2,150.70000000000002,63.0,62.8,93.2,60.2,124.9,77.7,51.1,152.0,56.1,52.3,55.9,119.6
1999-12-31,102.9,90.7,65.7,89.3,136.8,55.7,84.7,92.8,168.6,90.6,60.5,84.8,115.6,104.4,67.9,79.10000000000001,53.1,90.2,65.0,50.2
2000-12-31,145.6,78.9,101.6,70.2,120.1,61.5,63.4,57.0,100.3,77.0,73.8,56.3,67.4,93.6,79.2,82.9,42.2,50.9,74.4,61.6
2001-12-31,59.7,86.7,82.60000000000001,63.6,99.5,72.3,70.0,81.10000000000001,150.8,219.9,67.4,80.7,64.2,79.9,121.8,86.9,73.0,70.60000000000001,56.1,63.7
2002-12-31,88.7,99.1,67.4,78.8,162.8,72.0,92.1,123.3,82.60000000000001,71.0,111.5,73.8,114.6,67.0,61.5,75.10000000000001,96.0,60.5,95.0,60.5
2003-12-31,53.0,77.60000000000001,62.4,128.6,112.9,131.5,115.7,119.8,91.8,66.8,70.3,61.5,81.2,68.8,72.7,65.8,69.60000000000001,55.6,118.4,76.4
2004-12-31,65.2,50.8,98.9,74.4,132.9,98.4,107.8,97.6,152.20000000000002,127.7,88.0,74.5,76.0,90.2,96.1,133.4,37.0,57.3,87.0,97.2
2005-12-31,49.7,65.0,42.8,76.2,139.5,93.3,86.8,72.0,125.1,63.9,96.1,54.9,214.7,68.2,61.0,144.0,87.60000000000001,65.9,99.4,97.2
2006-12-31,75.10000000000001,113.2,55.6,101.3,108.5,72.2,154.20000000000002,67.3,76.0,87.7,69.7,73.7,55.8,118.4,77.10000000000001,150.5,59.8,110.5,66.7,52.0
2007-12-31,79.60000000000001,116.4,69.2,78.4,209.5,87.8,78.8,68.3,55.3,56.6,76.5,72.0,86.4,65.4,66.2,76.4,83.60000000000001,126.0,68.9,65.1
2008-12-31,105.7,81.10000000000001,99.6,76.10000000000001,131.8,110.3,91.9,151.0,120.5,63.3,75.0,116.0,95.5,85.60000000000001,86.0,81.10000000000001,86.2,68.0,104.0,89.3
2009-12-31,68.9,75.60000000000001,86.9,83.7,160.4,79.8,89.2,70.8,90.4,71.2,90.3,66.0,86.5,69.10000000000001,60.9,68.60000000000001,51.6,65.1,66.9,74.60000000000001
2010-12-31,121.1,74.7,79.7,94.9,166.8,101.1,74.0,122.0,72.0,67.4,83.60000000000001,80.0,71.5,68.1,85.7,124.7,74.8,88.2,93.1,146.9
2011-12-31,67.2,59.8,89.0,71.7,173.5,78.4,56.4,97.7,98.6,71.10000000000001,75.5,76.60000000000001,102.7,79.10000000000001,110.0,97.1,103.7,72.8,59.3,91.8
2012-12-31,79.60000000000001,46.4,79.8,65.6,129.9,80.2,140.3,47.9,78.8,53.7,89.60000000000001,57.1,113.4,65.9,76.0,106.1,57.2,101.7,105.6,87.7
2013-12-31,119.1,83.0,82.0,130.8,76.7,93.5,56.4,61.0,104.8,80.7,65.8,105.5,55.8,111.0,72.60000000000001,113.2,48.4,142.4,72.0,60.0
2014-12-31,80.0,79.9,93.3,83.0,114.5,76.7,69.8,99.5,137.6,78.10000000000001,97.4,44.8,113.9,90.2,91.4,106.5,73.10000000000001,50.8,78.9,81.60000000000001
2015-12-31,133.4,59.0,81.7,80.8,123.2,90.0,57.3,212.8,91.0,98.3,106.9,56.5,108.3,59.2,204.0,83.3,142.3,70.0,46.1,70.5
2016-12-31,71.3,63.0,50.5,89.8,114.8,72.2,98.9,182.5,79.7,96.0,77.4,119.1,82.0,86.0,93.4,72.10000000000001,73.10000000000001,47.7,64.4,93.0
2017-12-31,77.60000000000001,74.60000000000001,67.5,177.3,165.1,65.1,60.7,80.10000000000001,91.1,87.9,83.8,79.8,77.4,71.5,45.9,122.5,180.4,77.3,94.6,69.3
2018-12-31,43.0,77.4,86.3,95.4,128.8,65.9,73.10000000000001,92.6,127.7,59.6,114.6,60.3,135.7,70.4,103.0,118.6,67.4,103.9,96.1,98.4
2019-12-31,61.8,82.10000000000001,174.0,60.4,163.20000000000002,75.7,70.0,86.5,118.3,81.5,92.2,61.2,85.0,82.2,77.8,156.9,55.0,8.2,77.10000000000001,62.0
2020-12-31,59.8,56.6,108.5,76.4,151.5,51.3,143.0,51.6,96.8,49.3,94.3,77.5,31.6,94.1,82.10000000000001,141.4,62.9,82.60000000000001,95.7,66.8
2021-12-31,80.5,87.5,65.2,111.9,119.4,44.3,68.0,39.6,44.0,102.4,108.8,79.5,9.6,89.0,67.2,54.3,61.6,67.6,91.5,83.0
2022-12-31,96.1,137.4,90.7,141.5,190.5,73.9,105.6,139.70000000000002,98.2,118.0,91.5,99.0,39.8,81.3,76.7,191.5,75.9,98.5,97.1,46.6
2023-12-31,73.8,84.0,109.6,84.9,355.40000000000003,110.5,189.2,87.9,82.2,66.2,88.8,145.5,92.1,97.1,79.4,197.2,75.60000000000001,80.2,53.7,82.3
2024-12-31,76.5,78.10000000000001,183.0,53.9,123.4,61.2,47.8,81.10000000000001,64.7,45.1,77.2,63.6,68.8,81.5,121.1,137.0,55.6,72.0,95.5,103.6
