date,Abetifi,Akatsi,Akim Oda,Akuse,Axim,Bole,Ho,KIAMO-Accra,Kete-Krachi,Koforidua,Kumasi,Navrongo,Saltpond,Sefwi Bekwai,Sunyani,Takoradi,Tema,Tamale,Wa,Wenchi,Yendi
1990-12-31,146.8,108.9,103.9,94.8,138.7,138.3,111.19999999999999,68.30000000000001,102.19999999999999,100.6,158.6,114.3,69.4,154.8,129.8,213.2,98.3,107.40000000000002,88.2,143.7,106.5
1991-12-31,106.50000000000001,114.89999999999998,122.2,134.70000000000002,341.3,173.7,177.1,165.1,389.0,133.5,143.1,137.3,201.3,169.5,112.80000000000001,147.20000000000002,97.7,184.9,103.8,164.4,107.7
1992-12-31,89.50000000000001,81.1,117.3,185.89999999999998,258.8,94.10000000000004,75.30000000000003,83.39999999999999,110.3,84.79999999999998,136.2,98.80000000000001,138.89999999999998,132.5,99.89999999999999,173.8,102.8,87.0,89.50000000000001,121.60000000000002,89.6
1993-12-31,136.4,68.19999999999999,109.1,93.9,332.8,104.50000000000004,118.70000000000003,57.1,125.5,210.49999999999997,143.4,107.70000000000002,95.1,132.70000000000002,102.4,173.9,118.19999999999999,124.8,110.20000000000002,176.10000000000002,132.29999999999998
1994-12-31,101.20000000000002,118.49999999999999,125.69999999999999,92.60000000000001,230.40000000000003,124.00000000000004,93.50000000000003,87.1,162.9,91.89999999999996,83.4,185.60000000000002,107.89999999999999,152.40000000000003,96.3,129.10000000000002,112.1,93.4,75.10000000000001,125.5,128.79999999999998
1995-12-31,80.4,74.29999999999998,102.19999999999999,148.10000000000002,237.30000000000007,80.50000000000006,101.80000000000003,257.1,166.70000000000002,136.19999999999996,129.4,77.10000000000001,146.29999999999995,116.30000000000004,100.69999999999999,232.60000000000002,196.20000000000002,142.7,105.20000000000002,147.00000000000003,129.2
1996-12-31,94.6,100.19999999999999,130.3,138.70000000000002,234.30000000000007,74.40000000000005,179.70000000000005,90.1,172.5,117.79999999999994,141.70000000000002,86.60000000000001,139.79999999999998,128.80000000000004,90.79999999999998,227.20000000000005,124.20000000000002,114.2,85.30000000000004,127.80000000000003,114.0
1997-12-31,128.6,106.19999999999996,142.5,134.20000000000002,350.80000000000007,107.40000000000003,110.70000000000005,252.8,127.00000000000003,124.39999999999992,142.60000000000002,111.1,201.1,134.30000000000004,85.4,169.70000000000005,306.3,143.0,139.10000000000002,129.60000000000005,114.69999999999999
1998-12-31,104.80000000000001,143.19999999999996,137.3,180.4,196.10000000000002,98.00000000000004,145.70000000000005,152.2,97.4,105.79999999999993,205.2,112.5,127.2,115.30000000000003,85.0,190.40000000000003,77.20000000000005,85.2,142.20000000000002,135.50000000000003,147.5
1999-12-31,126.50000000000001,147.39999999999998,118.7,138.4,314.70000000000005,122.00000000000004,193.80000000000007,100.2,204.2,120.29999999999993,79.4,163.1,175.10000000000002,201.70000000000002,98.6,93.00000000000003,63.90000000000004,197.7,137.00000000000003,77.70000000000005,82.7
2000-12-31,208.50000000000003,129.99999999999994,203.4,125.0,326.0,122.10000000000004,95.30000000000007,61.5,151.6,108.29999999999993,132.70000000000002,115.30000000000001,92.0,113.80000000000003,79.19999999999999,144.60000000000005,60.600000000000044,129.4,95.80000000000004,124.40000000000003,124.89999999999999
2001-12-31,109.60000000000002,97.99999999999996,113.5,93.2,221.49999999999997,125.00000000000004,113.70000000000007,123.19999999999999,156.0,235.89999999999995,114.4,108.29999999999997,127.7,119.80000000000004,185.5,126.40000000000005,100.00000000000006,94.60000000000001,127.30000000000005,111.30000000000004,109.6
2002-12-31,105.10000000000002,109.49999999999996,136.70000000000002,99.39999999999999,242.79999999999998,121.50000000000003,132.10000000000005,234.1,91.4,88.19999999999993,171.3,105.69999999999999,132.7,83.20000000000003,105.5,133.80000000000004,136.60000000000008,87.8,87.00000000000006,154.00000000000003,85.5
2003-12-31,104.9,127.89999999999996,111.5,139.6,209.99999999999997,165.50000000000003,128.30000000000007,163.5,153.8,113.69999999999996,133.6,119.89999999999998,105.9,122.50000000000003,140.5,156.50000000000006,222.60000000000008,105.0,135.00000000000006,161.40000000000003,247.99999999999997
2004-12-31,91.30000000000001,101.79999999999995,131.6,106.4,305.49999999999994,106.50000000000003,204.70000000000005,99.8,209.7,143.39999999999998,224.79999999999998,109.39999999999998,132.3,117.60000000000002,135.5,139.90000000000006,40.20000000000006,148.5,85.00000000000009,91.10000000000002,135.19999999999996
2005-12-31,66.30000000000001,96.59999999999997,80.6,83.7,293.9,146.40000000000003,111.40000000000006,106.7,253.6,134.69999999999996,142.20000000000002,105.29999999999997,272.6,120.10000000000005,96.4,170.60000000000005,146.90000000000003,109.80000000000001,101.80000000000008,138.60000000000002,130.69999999999996
2006-12-31,105.30000000000001,217.89999999999995,95.80000000000001,127.6,199.39999999999995,138.50000000000006,209.00000000000006,110.30000000000001,179.10000000000002,148.49999999999994,93.5,90.29999999999998,126.0,132.00000000000003,90.3,189.70000000000005,93.60000000000005,123.3,230.40000000000006,142.30000000000004,77.89999999999995
2007-12-31,152.8,181.59999999999997,99.6,144.9,415.19999999999993,116.00000000000006,135.60000000000008,94.0,101.6,103.99999999999996,166.1,149.69999999999996,189.5,91.80000000000004,125.40000000000002,135.20000000000007,123.40000000000006,119.4,126.50000000000006,103.30000000000004,99.39999999999995
